OrderYear,OrderMonth,CategoryName,ProductName,Quantity,Sales
1996,7,Dairy Products,Queso Cabrales,12,168.00 
1996,7,Grains/Cereals,Singaporean Hokkien Fried Mee,10,98.00 
1996,7,Dairy Products,Mozzarella di Giovanni,5,174.00 
1996,7,Produce,Tofu,9,167.40 
1996,7,Produce,Manjimup Dried Apples,40,1696.00 
1996,7,Seafood,Jack's New England Clam Chowder,10,77.00 
1996,7,Produce,Manjimup Dried Apples,35,1484.00 
1996,7,Condiments,Louisiana Fiery Hot Pepper Sauce,15,252.00 
1996,7,Grains/Cereals,Gustaf's Knackebrod,6,100.80 
1996,7,Grains/Cereals,Ravioli Angelo,15,234.00 
1996,7,Condiments,Louisiana Fiery Hot Pepper Sauce,20,336.00 
1996,7,Confections,Sir Rodney's Marmalade,40,2592.00 
1996,7,Dairy Products,Geitost,25,50.00 
1996,7,Dairy Products,Camembert Pierrot,40,1088.00 
1996,7,Dairy Products,Gorgonzola Telino,20,200.00 
1996,7,Beverages,Chartreuse verte,42,604.80 
1996,7,Confections,Maxilaku,40,640.00 
1996,7,Beverages,Guarana Fantastica,15,54.00 
1996,7,Meat/Poultry,Pate chinois,21,403.20 
1996,7,Produce,Longlife Tofu,21,168.00 
1996,7,Beverages,Chang,20,304.00 
1996,7,Confections,Pavlova,35,486.50 
1996,7,Seafood,Inlagd Sill,25,380.00 
1996,7,Dairy Products,Raclette Courdavault,31,1364.00 
1996,7,Meat/Poultry,Perth Pasties,15,393.00 
1996,7,Condiments,Original Frankfurter grune Soe,12,124.80 
1996,7,Confections,Schoggi Schokolade,25,877.50 
1996,7,Beverages,Chartreuse verte,6,86.40 
1996,7,Condiments,Original Frankfurter grune Soe,15,156.00 
1996,7,Beverages,Chang,50,760.00 
1996,7,Condiments,Chef Anton's Gumbo Mix,65,1105.00 
1996,7,Dairy Products,Mascarpone Fabioli,6,153.60 
1996,7,Confections,Sir Rodney's Scones,10,80.00 
1996,7,Seafood,Gravad lax,1,20.80 
1996,7,Seafood,Jack's New England Clam Chowder,16,123.20 
1996,7,Grains/Cereals,Ravioli Angelo,50,780.00 
1996,7,Confections,Tarte au sucre,15,591.00 
1996,7,Beverages,Outback Lager,21,252.00 
1996,7,Confections,Sir Rodney's Scones,20,160.00 
1996,7,Beverages,Steeleye Stout,20,288.00 
1996,7,Condiments,Chef Anton's Gumbo Mix,12,204.00 
1996,7,Produce,Uncle Bob's Organic Dried Pears,15,360.00 
1996,7,Grains/Cereals,Gnocchi di nonna Alice,2,60.80 
1996,7,Confections,Pavlova,60,834.00 
1996,7,Beverages,Guarana Fantastica,28,100.80 
1996,7,Seafood,Nord-Ost Matjeshering,60,1242.00 
1996,7,Produce,Longlife Tofu,36,288.00 
1996,7,Beverages,Chang,35,532.00 
1996,7,Seafood,Jack's New England Clam Chowder,25,192.50 
1996,7,Meat/Poultry,Alice Mutton,30,936.00 
1996,7,Beverages,Outback Lager,20,240.00 
1996,7,Dairy Products,Queso Manchego La Pastora,12,364.80 
1996,7,Seafood,Boston Crab Meat,50,735.00 
1996,7,Dairy Products,Raclette Courdavault,70,3080.00 
1996,7,Beverages,Lakkalikoori,15,216.00 
1996,7,Meat/Poultry,Thuringer Rostbratwurst,10,990.00 
1996,7,Dairy Products,Mozzarella di Giovanni,4,111.20 
1996,7,Dairy Products,Geitost,60,120.00 
1996,7,Dairy Products,Mozzarella di Giovanni,20,556.00 
1996,8,Seafood,Inlagd Sill,30,456.00 
1996,8,Beverages,Ipoh Coffee,25,920.00 
1996,8,Dairy Products,Geitost,24,48.00 
1996,8,Confections,Sir Rodney's Marmalade,6,388.80 
1996,8,Dairy Products,Gorgonzola Telino,40,400.00 
1996,8,Dairy Products,Mozzarella di Giovanni,24,667.20 
1996,8,Seafood,Ikura,24,595.20 
1996,8,Dairy Products,Gorgonzola Telino,15,150.00 
1996,8,Dairy Products,Geitost,20,40.00 
1996,8,Seafood,Boston Crab Meat,60,882.00 
1996,8,Beverages,Lakkalikoori,33,475.20 
1996,8,Dairy Products,Flotemysost,20,344.00 
1996,8,Dairy Products,Mozzarella di Giovanni,7,194.60 
1996,8,Beverages,Guarana Fantastica,12,43.20 
1996,8,Dairy Products,Raclette Courdavault,6,264.00 
1996,8,Seafood,Ikura,15,372.00 
1996,8,Seafood,Konbu,10,48.00 
1996,8,Produce,Rossle Sauerkraut,20,728.00 
1996,8,Confections,Tarte au sucre,12,472.80 
1996,8,Condiments,Gula Malacca,16,248.00 
1996,8,Dairy Products,Raclette Courdavault,15,660.00 
1996,8,Condiments,Vegie-spread,8,280.80 
1996,8,Seafood,Rod Kaviar,25,300.00 
1996,8,Meat/Poultry,Alice Mutton,15,468.00 
1996,8,Beverages,Guarana Fantastica,12,43.20 
1996,8,Meat/Poultry,Pate chinois,20,384.00 
1996,8,Beverages,Rhonbrau Klosterbier,30,186.00 
1996,8,Confections,Teatime Chocolate Biscuits,1,7.30 
1996,8,Beverages,Guarana Fantastica,6,21.60 
1996,8,Beverages,Steeleye Stout,4,57.60 
1996,8,Seafood,Nord-Ost Matjeshering,6,124.20 
1996,8,Grains/Cereals,Ravioli Angelo,2,31.20 
1996,8,Condiments,Genen Shouyu,20,248.00 
1996,8,Confections,Teatime Chocolate Biscuits,18,131.40 
1996,8,Dairy Products,Camembert Pierrot,35,952.00 
1996,8,Dairy Products,Mozzarella di Giovanni,3,83.40 
1996,8,Confections,Schoggi Schokolade,15,526.50 
1996,8,Condiments,Gula Malacca,21,325.50 
1996,8,Dairy Products,Camembert Pierrot,20,544.00 
1996,8,Beverages,Laughing Lumberjack Lager,5,56.00 
1996,8,Beverages,Chai,45,648.00 
1996,8,Seafood,Boston Crab Meat,40,588.00 
1996,8,Meat/Poultry,Perth Pasties,36,943.20 
1996,8,Beverages,Steeleye Stout,100,1440.00 
1996,8,Confections,Tarte au sucre,40,1576.00 
1996,8,Confections,Pavlova,40,556.00 
1996,8,Beverages,Sasquatch Ale,20,224.00 
1996,8,Seafood,Spegesild,15,144.00 
1996,8,Meat/Poultry,Tourtière,10,59.00 
1996,8,Confections,Scottish Longbreads,3,30.00 
1996,8,Condiments,Aniseed Syrup,30,240.00 
